S 68810c(set 8 of 32),1 miss 
L 688120(set 9 of 32),8 miss 
L 688104(set 8 of 32),4 hit 
L 688100(set 8 of 32),4 hit 
L 608200(set 16 of 32),4 miss 
L 608204(set 16 of 32),4 hit 
L 608208(set 16 of 32),4 hit 
L 60830c(set 24 of 32),4 miss 
L 608310(set 24 of 32),4 hit 
L 608314(set 24 of 32),4 hit 
L 608418(set 0 of 32),4 miss 
L 60841c(set 0 of 32),4 hit 
L 608420(set 1 of 32),4 miss 
L 608524(set 9 of 32),4 miss eviction 
L 608528(set 9 of 32),4 hit 
L 60852c(set 9 of 32),4 hit 
S 64be00(set 16 of 32),4 miss eviction 
S 64bef4(set 23 of 32),4 miss 
S 64bfe8(set 31 of 32),4 miss 
S 64be04(set 16 of 32),4 hit 
S 64bef8(set 23 of 32),4 hit 
S 64bfec(set 31 of 32),4 hit 
S 64be08(set 16 of 32),4 hit 
S 64befc(set 23 of 32),4 hit 
S 64bff0(set 31 of 32),4 hit 
S 64be0c(set 16 of 32),4 hit 
S 64bf00(set 24 of 32),4 miss eviction 
S 64bff4(set 31 of 32),4 hit 
L 608630(set 17 of 32),4 miss 
L 608634(set 17 of 32),4 hit 
L 608638(set 17 of 32),4 hit 
L 60873c(set 25 of 32),4 miss 
L 608740(set 26 of 32),4 miss 
L 608744(set 26 of 32),4 hit 
L 608848(set 2 of 32),4 miss 
L 60884c(set 2 of 32),4 hit 
L 608850(set 2 of 32),4 hit 
L 608954(set 10 of 32),4 miss 
L 608958(set 10 of 32),4 hit 
L 60895c(set 10 of 32),4 hit 
S 64be10(set 16 of 32),4 hit 
S 64bf04(set 24 of 32),4 hit 
S 64bff8(set 31 of 32),4 hit 
S 64be14(set 16 of 32),4 hit 
S 64bf08(set 24 of 32),4 hit 
S 64bffc(set 31 of 32),4 hit 
S 64be18(set 16 of 32),4 hit 
S 64bf0c(set 24 of 32),4 hit 
S 64c000(set 0 of 32),4 miss eviction 
S 64be1c(set 16 of 32),4 hit 
S 64bf10(set 24 of 32),4 hit 
S 64c004(set 0 of 32),4 hit 
L 608100(set 8 of 32),4 miss eviction 
L 608104(set 8 of 32),4 hit 
L 608108(set 8 of 32),4 hit 
L 60810c(set 8 of 32),4 hit 
L 608110(set 8 of 32),4 hit 
L 608114(set 8 of 32),4 hit 
L 608118(set 8 of 32),4 hit 
L 60811c(set 8 of 32),4 hit 
S 648100(set 8 of 32),4 miss eviction 
S 6481f4(set 15 of 32),4 miss 
S 6482e8(set 23 of 32),4 miss eviction 
S 6483dc(set 30 of 32),4 miss 
S 6484d0(set 6 of 32),4 miss 
S 6485c4(set 14 of 32),4 miss 
S 6486b8(set 21 of 32),4 miss 
S 6487ac(set 29 of 32),4 miss 
L 60820c(set 16 of 32),4 miss eviction 
L 608210(set 16 of 32),4 hit 
L 608214(set 16 of 32),4 hit 
L 608218(set 16 of 32),4 hit 
L 60821c(set 16 of 32),4 hit 
L 608220(set 17 of 32),4 miss eviction 
L 608224(set 17 of 32),4 hit 
L 608228(set 17 of 32),4 hit 
S 648104(set 8 of 32),4 hit 
S 6481f8(set 15 of 32),4 hit 
S 6482ec(set 23 of 32),4 hit 
S 6483e0(set 31 of 32),4 miss eviction 
S 6484d4(set 6 of 32),4 hit 
S 6485c8(set 14 of 32),4 hit 
S 6486bc(set 21 of 32),4 hit 
S 6487b0(set 29 of 32),4 hit 
L 608318(set 24 of 32),4 miss eviction 
L 60831c(set 24 of 32),4 hit 
L 608320(set 25 of 32),4 miss eviction 
L 608324(set 25 of 32),4 hit 
L 608328(set 25 of 32),4 hit 
L 60832c(set 25 of 32),4 hit 
L 608330(set 25 of 32),4 hit 
L 608334(set 25 of 32),4 hit 
S 648108(set 8 of 32),4 hit 
S 6481fc(set 15 of 32),4 hit 
S 6482f0(set 23 of 32),4 hit 
S 6483e4(set 31 of 32),4 hit 
S 6484d8(set 6 of 32),4 hit 
S 6485cc(set 14 of 32),4 hit 
S 6486c0(set 22 of 32),4 miss 
S 6487b4(set 29 of 32),4 hit 
L 608424(set 1 of 32),4 hit 
L 608428(set 1 of 32),4 hit 
L 60842c(set 1 of 32),4 hit 
L 608430(set 1 of 32),4 hit 
L 608434(set 1 of 32),4 hit 
L 608438(set 1 of 32),4 hit 
L 60843c(set 1 of 32),4 hit 
L 608440(set 2 of 32),4 miss eviction 
S 64810c(set 8 of 32),4 hit 
S 648200(set 16 of 32),4 miss eviction 
S 6482f4(set 23 of 32),4 hit 
S 6483e8(set 31 of 32),4 hit 
S 6484dc(set 6 of 32),4 hit 
S 6485d0(set 14 of 32),4 hit 
S 6486c4(set 22 of 32),4 hit 
S 6487b8(set 29 of 32),4 hit 
L 608530(set 9 of 32),4 hit 
L 608534(set 9 of 32),4 hit 
L 608538(set 9 of 32),4 hit 
L 60853c(set 9 of 32),4 hit 
L 608540(set 10 of 32),4 miss eviction 
L 608544(set 10 of 32),4 hit 
L 608548(set 10 of 32),4 hit 
L 60854c(set 10 of 32),4 hit 
S 648110(set 8 of 32),4 hit 
S 648204(set 16 of 32),4 hit 
S 6482f8(set 23 of 32),4 hit 
S 6483ec(set 31 of 32),4 hit 
